,SAT,GPA
0,1714,2.4
1,1664,2.52
2,1760,2.54
3,1685,2.74
4,1693,2.83
5,1670,2.91
6,1764,3.0
7,1764,3.0
8,1792,3.01
9,1850,3.01
10,1735,3.02
11,1775,3.07
12,1735,3.08
13,1712,3.08
14,1773,3.12
15,1872,3.17
16,1755,3.17
17,1674,3.17
18,1842,3.17
19,1786,3.19
20,1761,3.19
21,1722,3.19
22,1663,3.2
23,1687,3.21
24,1974,3.24
25,1826,3.28
26,1787,3.28
27,1821,3.28
28,2020,3.28
29,1794,3.28
30,1769,3.28
31,1934,3.28
32,1775,3.29
33,1855,3.29
34,1880,3.29
35,1849,3.31
36,1808,3.32
37,1954,3.34
38,1777,3.37
39,1831,3.37
40,1865,3.37
41,1850,3.38
42,1966,3.38
43,1702,3.39
44,1990,3.39
45,1925,3.4
46,1824,3.4
47,1956,3.4
48,1857,3.41
49,1979,3.41
50,1802,3.41
51,1855,3.42
52,1907,3.42
53,1634,3.42
54,1879,3.44
55,1887,3.47
56,1730,3.47
57,1953,3.47
58,1781,3.47
59,1891,3.48
60,1964,3.49
61,1808,3.49
62,1893,3.5
63,2041,3.51
64,1893,3.51
65,1832,3.52
66,1850,3.52
67,1934,3.54
68,1861,3.58
69,1931,3.58
70,1933,3.59
71,1778,3.59
72,1975,3.6
73,1934,3.6
74,2021,3.61
75,2015,3.62
76,1997,3.64
77,2020,3.65
78,1843,3.71
79,1936,3.71
80,1810,3.71
81,1987,3.73
82,1962,3.76
83,2050,3.81
